Date,Open,High,Low,Close,Volume,Adj Close
2012-05-23,1.68,1.88,1.51,1.53,10679600,1.53
2012-05-22,1.45,1.85,1.43,1.72,13630800,1.72
2012-05-21,1.34,1.45,1.33,1.41,6934300,1.41
2012-05-18,1.09,1.34,1.06,1.28,18013100,1.28
2012-05-17,1.13,1.13,1.06,1.10,3739900,1.10
2012-05-16,1.11,1.13,1.06,1.10,4033600,1.10
2012-05-15,1.20,1.21,1.11,1.13,4601800,1.13
2012-05-14,1.19,1.20,1.15,1.18,2585500,1.18
2012-05-11,1.31,1.31,1.18,1.21,4380500,1.21
2012-05-10,1.20,1.31,1.16,1.30,3798200,1.30
2012-05-09,1.25,1.27,1.16,1.17,3404700,1.17
2012-05-08,1.29,1.32,1.24,1.24,2906800,1.24
2012-05-07,1.27,1.30,1.20,1.29,3034000,1.29
2012-05-04,1.31,1.32,1.26,1.28,2561900,1.28
2012-05-03,1.34,1.34,1.26,1.32,4207900,1.32
2012-05-02,1.39,1.39,1.28,1.31,4162800,1.31
2012-05-01,1.36,1.36,1.36,1.36,000,1.36
2012-04-30,1.42,1.43,1.36,1.36,2824200,1.36
2012-04-27,1.38,1.45,1.32,1.42,3312100,1.42
2012-04-26,1.53,1.53,1.36,1.40,4914600,1.40
2012-04-25,1.49,1.58,1.49,1.52,3131500,1.52
2012-04-24,1.41,1.51,1.41,1.49,4045200,1.49
2012-04-23,1.60,1.60,1.39,1.40,4615000,1.40
2012-04-20,1.62,1.65,1.58,1.60,2700900,1.60
2012-04-19,1.70,1.72,1.59,1.62,3984800,1.62
2012-04-18,1.89,1.89,1.70,1.70,4524200,1.70
2012-04-17,1.86,1.94,1.80,1.89,3427000,1.89
2012-04-16,2.01,2.07,1.97,2.01,3563100,2.01
2012-04-13,2.08,2.12,1.96,2.00,4641500,2.00
2012-04-12,2.22,2.24,2.08,2.10,4481400,2.10
2012-04-11,2.11,2.21,2.11,2.19,3742000,2.19
2012-04-10,2.15,2.23,2.10,2.11,3740000,2.11
2012-04-09,2.17,2.17,2.17,2.17,000,2.17
2012-04-06,2.17,2.17,2.17,2.17,000,2.17
2012-04-05,2.09,2.17,2.03,2.17,3613600,2.17
2012-04-04,2.12,2.13,2.00,2.08,3793000,2.08
2012-04-03,2.24,2.28,2.13,2.13,2651300,2.13
2012-04-02,2.30,2.31,2.14,2.26,3271100,2.26
