Date,Open,High,Low,Close,Volume,Adj Close
2012-11-06,10.00,10.18,9.98,10.08,168300,10.08
2012-11-05,10.36,10.36,10.06,10.06,230700,10.06
2012-11-02,10.15,10.45,10.08,10.45,168600,10.45
2012-11-01,10.02,10.32,9.98,10.15,206000,10.15
2012-10-31,9.81,10.12,9.81,10.08,351300,10.08
2012-10-30,9.75,9.81,9.69,9.81,93200,9.81
2012-10-29,9.94,9.99,9.64,9.65,216000,9.65
2012-10-26,9.96,10.10,9.89,9.92,135600,9.92
2012-10-25,10.00,10.10,9.88,9.95,134600,9.95
2012-10-24,10.12,10.14,9.70,9.98,243900,9.98
2012-10-23,10.28,10.28,10.03,10.14,187600,10.14
2012-10-22,10.30,10.34,10.09,10.23,253600,10.23
2012-10-19,10.18,10.40,10.03,10.30,325700,10.30
2012-10-18,10.60,10.61,10.02,10.22,420500,10.22
2012-10-17,9.89,10.52,9.82,10.52,590000,10.52
2012-10-16,9.68,9.87,9.40,9.81,456800,9.81
2012-10-15,9.95,9.98,9.54,9.64,157000,9.64
2012-10-12,10.04,10.14,9.82,9.85,102200,9.85
2012-10-11,9.73,10.09,9.66,10.05,147100,10.05
2012-10-10,9.98,10.19,9.73,9.88,216900,9.88
2012-10-09,10.07,10.31,9.95,10.09,180600,10.09
2012-10-08,10.26,10.27,10.03,10.07,187700,10.07
2012-10-05,10.34,10.42,10.26,10.30,144100,10.30
2012-10-04,10.50,10.51,10.18,10.33,163500,10.33
2012-10-03,10.45,10.59,10.16,10.30,201400,10.30
2012-10-02,10.44,10.73,10.29,10.46,172500,10.46
2012-10-01,10.15,10.51,9.91,10.42,247400,10.42
2012-09-28,10.41,10.64,10.01,10.15,384400,10.15
2012-09-27,10.52,10.65,10.14,10.31,526200,10.31
2012-09-26,11.23,11.27,10.38,10.38,572100,10.38
2012-09-25,11.74,11.76,11.31,11.41,224900,11.41
2012-09-24,11.76,11.88,11.65,11.76,173900,11.76
2012-09-21,11.56,11.95,11.41,11.95,295700,11.95
2012-09-20,11.75,11.90,11.35,11.52,246800,11.52
2012-09-19,11.98,11.98,11.61,11.82,284500,11.82
2012-09-18,11.69,11.94,11.25,11.75,342300,11.75
2012-09-17,11.26,11.90,11.14,11.73,370700,11.73
2012-09-14,10.85,11.37,10.74,11.22,491800,11.22
2012-09-13,10.62,10.69,10.41,10.52,157600,10.52
2012-09-12,10.60,10.72,10.40,10.64,340700,10.64
2012-09-11,10.48,10.56,10.20,10.56,1426200,10.56
2012-09-10,10.34,10.50,10.24,10.49,275600,10.49
2012-09-07,10.30,10.66,10.20,10.26,694800,10.26
2012-09-06,9.80,10.25,9.70,10.18,349700,10.18
2012-09-05,9.90,9.96,9.52,9.68,341000,9.68
2012-09-04,10.00,10.04,9.84,9.94,125500,9.94
2012-09-03,9.97,10.14,9.87,9.90,115500,9.90
2012-08-31,9.87,10.10,9.80,10.00,209200,10.00
2012-08-30,9.89,9.94,9.84,9.90,91100,9.90
2012-08-29,10.00,10.10,9.85,9.89,159700,9.89
2012-08-28,10.12,10.23,9.88,9.91,247400,9.91
2012-08-27,10.00,10.24,9.95,10.22,147300,10.22
2012-08-24,10.15,10.15,9.86,9.89,177600,9.89
2012-08-23,10.15,10.29,9.81,10.10,190700,10.10
2012-08-22,10.19,10.55,9.60,9.86,470900,9.86
2012-08-21,10.60,10.69,10.13,10.33,333700,10.33
2012-08-20,10.28,10.86,10.11,10.41,758900,10.41
2012-08-17,9.36,10.28,9.36,10.28,1082200,10.28
2012-08-16,8.23,9.27,8.22,9.27,698800,9.27
2012-08-15,8.14,8.20,8.14,8.20,96900,8.20
2012-08-14,8.30,8.30,8.09,8.17,210800,8.17
2012-08-13,8.15,8.30,8.09,8.10,168700,8.10
2012-08-10,8.18,8.25,8.05,8.20,142800,8.20
2012-08-09,8.29,8.29,8.06,8.22,255600,8.22
2012-08-08,8.35,8.47,8.01,8.22,330500,8.22
2012-08-07,8.24,8.46,8.10,8.37,332900,8.37
2012-08-06,7.87,8.30,7.84,8.29,1988900,8.29
2012-08-03,7.39,7.78,7.39,7.78,218900,7.78
2012-08-02,8.11,8.30,7.41,7.41,456900,7.41
2012-08-01,8.23,8.49,7.92,8.11,320200,8.11
2012-07-31,8.20,8.37,7.79,8.29,385300,8.29
2012-07-30,8.15,8.38,8.01,8.19,399500,8.19
2012-07-27,8.06,8.23,7.55,8.23,332400,8.23
2012-07-26,7.60,7.97,7.40,7.91,337900,7.91
2012-07-25,7.15,7.72,7.10,7.39,487800,7.39
2012-07-24,7.80,7.84,7.10,7.15,449500,7.15
2012-07-23,7.81,7.81,7.21,7.69,857400,7.69
2012-07-20,8.78,8.78,7.90,7.97,856000,7.97
2012-07-19,8.45,8.80,8.34,8.78,718700,8.78
2012-07-18,8.52,8.53,8.15,8.39,664600,8.39
2012-07-17,8.75,8.89,8.36,8.37,731900,8.37
2012-07-16,9.40,9.50,8.64,8.72,1872500,8.72
2012-07-13,9.58,9.58,9.22,9.45,582200,9.45
2012-07-12,10.20,10.20,9.88,9.93,713700,9.42
2012-07-11,10.01,10.24,9.91,10.06,580100,9.54
2012-07-10,9.99,10.26,9.85,10.06,521700,9.54
2012-07-09,9.94,10.15,9.81,9.89,1445300,9.38
2012-07-06,10.43,10.46,9.81,9.84,630400,9.33
2012-07-05,10.82,11.02,10.45,10.47,695800,9.92
2012-07-04,10.75,10.83,10.55,10.78,380600,10.23
