Date,Open,High,Low,Close,Volume,Adj Close
2012-06-15,3.93,4.04,3.92,4.04,2184900,4.04
2012-06-14,3.70,3.91,3.67,3.91,2206800,3.91
2012-06-13,3.71,3.78,3.66,3.70,1086100,3.70
2012-06-12,3.74,3.74,3.61,3.73,2107500,3.73
2012-06-11,3.89,4.00,3.70,3.72,2216200,3.72
2012-06-08,3.71,3.83,3.63,3.82,1898200,3.82
2012-06-07,3.69,3.77,3.67,3.72,2277100,3.72
2012-06-06,3.61,3.70,3.61,3.69,1657600,3.69
2012-06-05,3.58,3.65,3.55,3.62,1461500,3.62
2012-06-04,3.31,3.56,3.31,3.51,1197000,3.51
2012-06-01,3.41,3.44,3.28,3.36,1852400,3.36
2012-05-31,3.53,3.60,3.37,3.42,2567900,3.42
2012-05-30,3.72,3.72,3.51,3.55,3541300,3.55
2012-05-29,3.91,3.93,3.72,3.74,2711700,3.74
2012-05-28,3.85,3.93,3.80,3.91,2014400,3.91
2012-05-25,3.66,3.81,3.63,3.80,2673300,3.80
2012-05-24,3.60,3.67,3.50,3.65,2619900,3.65
2012-05-23,3.55,3.61,3.51,3.55,4306000,3.55
2012-05-22,3.60,3.63,3.54,3.56,2220500,3.56
2012-05-21,3.45,3.58,3.42,3.57,4085100,3.57
2012-05-18,3.32,3.48,3.30,3.47,2143600,3.47
2012-05-17,3.40,3.42,3.28,3.39,2071900,3.39
2012-05-16,3.42,3.47,3.34,3.41,2823100,3.41
2012-05-15,3.61,3.62,3.40,3.45,2992900,3.45
2012-05-14,3.52,3.64,3.46,3.61,2903500,3.61
2012-05-11,3.46,3.56,3.43,3.55,2515000,3.55
2012-05-10,3.35,3.49,3.28,3.48,2660500,3.48
2012-05-09,3.33,3.36,3.23,3.30,2973400,3.30
2012-05-08,3.43,3.50,3.32,3.34,2155700,3.34
2012-05-07,3.35,3.51,3.30,3.47,1975500,3.47
2012-05-04,3.47,3.54,3.38,3.39,1957400,3.39
2012-05-03,3.44,3.58,3.36,3.48,3114500,3.48
2012-05-02,3.46,3.53,3.35,3.45,4816800,3.45
2012-05-01,3.43,3.43,3.43,3.43,000,3.43
2012-04-30,3.60,3.64,3.43,3.43,8236900,3.43
2012-04-27,3.43,3.61,3.38,3.58,3201200,3.58
2012-04-26,3.57,3.60,3.43,3.45,2644700,3.45
2012-04-25,3.47,3.61,3.47,3.60,2401300,3.60
2012-04-24,3.46,3.52,3.43,3.48,2711900,3.48
2012-04-23,3.57,3.57,3.42,3.45,4841500,3.45
2012-04-20,3.57,3.62,3.51,3.60,5000500,3.60
2012-04-19,3.73,3.74,3.49,3.55,5110200,3.55
2012-04-18,3.80,3.85,3.70,3.71,2852000,3.71
2012-04-17,3.75,3.94,3.73,3.92,2883000,3.81
2012-04-16,3.98,4.07,3.89,3.93,4572800,3.82
2012-04-13,4.15,4.18,3.95,4.00,4614400,3.89
2012-04-12,4.09,4.16,4.00,4.14,3967500,4.02
2012-04-11,4.05,4.11,4.02,4.08,2297200,3.96
2012-04-10,4.01,4.09,4.01,4.05,2436000,3.94
2012-04-09,4.07,4.07,4.07,4.07,000,3.96
2012-04-06,4.07,4.07,4.07,4.07,000,3.96
2012-04-05,4.11,4.17,4.01,4.07,3392000,3.96
2012-04-04,4.16,4.17,4.10,4.11,2505600,3.99
2012-04-03,4.32,4.39,4.20,4.20,3043100,4.08
2012-04-02,4.31,4.35,4.21,4.32,2230800,4.20
2012-03-30,4.24,4.34,4.21,4.30,2871500,4.18
2012-03-29,4.22,4.30,4.18,4.22,2611300,4.10
2012-03-28,4.39,4.40,4.18,4.25,4058000,4.13
2012-03-27,4.63,4.66,4.41,4.44,2751500,4.31
2012-03-26,4.50,4.62,4.38,4.61,1874900,4.48
2012-03-23,4.50,4.54,4.36,4.47,2689300,4.34
2012-03-22,4.60,4.61,4.48,4.51,1602500,4.39
2012-03-21,4.71,4.75,4.56,4.62,1395600,4.49
2012-03-20,4.71,4.72,4.60,4.67,6079000,4.54
2012-03-19,4.58,4.74,4.58,4.71,2990900,4.58
2012-03-16,4.66,4.66,4.57,4.60,3902600,4.47
2012-03-15,4.58,4.66,4.56,4.65,2708500,4.52
2012-03-14,4.56,4.69,4.56,4.59,3129100,4.46
2012-03-13,4.43,4.55,4.37,4.53,1609900,4.40
2012-03-12,4.49,4.49,4.35,4.37,3326900,4.25
2012-03-09,4.47,4.53,4.40,4.48,3410500,4.36
2012-03-08,4.36,4.43,4.34,4.42,2360700,4.30
2012-03-07,4.40,4.47,4.29,4.35,4398000,4.23
2012-03-06,4.59,4.59,4.41,4.41,4396700,4.29
2012-03-05,4.67,4.72,4.60,4.62,2019400,4.50
2012-03-02,4.57,4.70,4.55,4.67,3786600,4.54
2012-03-01,4.49,4.56,4.41,4.55,2671700,4.42
2012-02-29,4.61,4.67,4.46,4.48,4869700,4.36
2012-02-28,4.46,4.68,4.46,4.62,5398800,4.49
2012-02-27,4.40,4.48,4.36,4.46,3107400,4.34
