Date,Open,High,Low,Close,Volume,Adj Close
2012-07-11,34.53,36.04,34.52,35.36,187400,35.08
2012-07-10,34.38,34.72,34.30,34.55,96000,34.28
2012-07-09,34.55,34.92,34.17,34.17,83500,33.90
2012-07-06,34.56,34.80,34.46,34.46,79300,34.19
2012-07-05,34.80,34.80,34.55,34.67,167600,34.40
2012-07-04,34.49,34.92,34.49,34.66,156100,34.39
2012-07-03,35.00,35.73,34.54,34.71,174600,34.44
2012-07-02,34.26,35.15,34.26,35.10,304100,34.83
2012-06-29,32.74,33.93,32.74,33.93,112700,33.67
2012-06-28,33.07,33.29,32.33,32.46,138800,32.21
2012-06-27,32.65,33.36,32.53,33.21,100500,32.95
2012-06-26,32.65,33.05,32.45,32.64,142900,32.39
2012-06-25,32.60,33.16,32.59,32.67,70800,32.42
2012-06-22,32.89,32.94,32.32,32.88,120100,32.62
2012-06-21,32.70,33.55,32.59,32.91,150100,32.65
2012-06-20,32.62,32.89,32.33,32.72,439000,32.47
2012-06-19,32.74,32.95,32.14,32.67,117200,32.42
2012-06-18,32.70,33.00,32.26,32.78,121100,32.52
2012-06-15,32.72,32.75,32.26,32.30,133300,32.05
2012-06-14,32.15,32.70,32.06,32.67,112000,32.42
2012-06-13,32.50,32.50,31.87,32.11,96000,31.86
2012-06-12,32.00,32.82,31.69,32.30,587000,32.05
2012-06-11,32.55,32.95,31.89,32.05,127500,31.80
2012-06-08,31.37,32.38,31.37,32.22,134100,31.97
2012-06-07,31.44,32.29,31.44,31.64,93000,31.39
2012-06-06,31.43,32.10,31.03,31.81,252800,31.56
2012-06-05,31.69,31.76,30.12,31.12,472200,30.88
2012-06-04,31.82,32.34,31.49,31.88,103600,31.13
2012-06-01,32.52,33.13,31.85,32.15,165900,31.40
2012-05-31,33.05,33.78,32.55,32.71,240000,31.95
2012-05-30,33.60,33.88,33.20,33.45,122700,32.67
2012-05-29,33.35,33.72,33.10,33.72,511400,32.93
2012-05-28,33.54,33.54,32.80,33.29,59300,32.51
2012-05-25,33.45,33.72,33.02,33.39,81900,32.61
2012-05-24,32.55,33.49,32.38,33.21,150900,32.43
2012-05-23,33.14,33.89,32.52,32.63,245900,31.87
2012-05-22,33.25,33.60,32.64,33.14,216500,32.37
2012-05-21,32.50,33.10,32.45,32.95,247800,32.18
2012-05-18,32.75,32.95,32.41,32.55,126400,31.79
2012-05-17,33.25,33.25,32.67,33.03,69800,32.26
2012-05-16,33.65,33.89,33.06,33.12,96000,32.35
2012-05-15,33.60,34.10,33.58,33.86,104800,33.07
2012-05-14,33.85,33.94,33.49,33.77,104700,32.98
2012-05-11,33.31,34.13,33.29,34.12,107400,33.32
2012-05-10,33.59,34.06,33.16,33.55,980700,32.77
2012-05-09,33.81,34.11,33.11,33.94,164800,33.15
2012-05-08,34.20,34.60,33.51,33.81,111000,33.02
2012-05-07,33.99,34.63,33.75,34.46,137800,33.65
2012-05-04,34.30,34.90,34.21,34.31,164000,33.51
2012-05-03,34.40,34.60,34.16,34.52,218000,33.71
2012-05-02,34.49,34.89,34.10,34.28,213400,33.48
2012-05-01,34.15,34.15,34.15,34.15,000,33.35
2012-04-30,33.74,34.40,33.74,34.15,138800,33.35
2012-04-27,34.02,34.44,33.01,33.80,178400,33.01
2012-04-26,34.07,34.74,34.07,34.35,158300,33.55
2012-04-25,34.54,34.54,33.95,34.27,221700,33.47
2012-04-24,34.08,34.53,33.71,34.16,195600,33.36
2012-04-23,34.74,34.79,33.66,34.17,177600,33.37
2012-04-20,34.85,35.19,34.57,34.85,174000,34.04
2012-04-19,35.10,35.33,34.81,35.00,209300,34.18
2012-04-18,35.25,35.34,34.64,34.98,223400,34.16
2012-04-17,35.23,35.49,34.70,35.19,242300,34.37
2012-04-16,34.30,35.37,34.30,35.08,137200,34.26
2012-04-13,34.95,34.99,34.05,34.59,194500,33.78
2012-04-12,34.13,34.91,34.10,34.85,139400,34.04
2012-04-11,34.52,34.74,33.85,34.13,145200,33.33
2012-04-10,34.45,34.78,33.87,34.69,219500,33.88
2012-04-09,34.20,34.20,34.20,34.20,000,33.40
2012-04-06,34.20,34.20,34.20,34.20,000,33.40
2012-04-05,35.00,35.00,34.07,34.20,236200,33.40
2012-04-04,34.14,35.80,34.00,34.79,374600,33.98
2012-04-03,33.76,34.80,33.72,34.40,277800,33.60
2012-04-02,33.60,33.83,33.25,33.83,139400,33.04
2012-03-30,32.70,33.72,32.50,33.55,181000,32.77
2012-03-29,32.93,33.19,32.18,32.50,154400,31.74
2012-03-28,32.80,33.50,32.48,33.11,139200,32.34
2012-03-27,33.36,33.80,32.17,32.80,156900,32.03
2012-03-26,32.63,33.30,32.48,33.30,144000,32.52
2012-03-23,32.23,32.53,32.13,32.44,110000,31.68
2012-03-22,32.56,32.70,32.14,32.29,86000,31.54
2012-03-21,32.45,32.55,32.17,32.41,102100,31.65
2012-03-20,32.21,32.58,32.19,32.41,147200,31.65
2012-03-19,32.00,32.64,31.85,32.24,141900,31.49
2012-03-16,32.43,32.61,31.90,32.23,88700,31.48
2012-03-15,32.30,32.69,32.30,32.56,123800,31.80
2012-03-14,32.47,32.49,32.01,32.27,139800,31.52
2012-03-13,32.49,32.49,31.89,32.41,102800,31.65
2012-03-12,32.10,32.47,31.98,32.35,90200,31.59
2012-03-09,31.48,32.87,31.43,32.21,190000,31.46
2012-03-08,30.99,31.44,30.70,31.42,129800,30.69
2012-03-07,30.76,30.99,30.30,30.95,181700,30.23
2012-03-06,31.20,31.50,30.74,30.81,134500,30.09
2012-03-05,31.04,31.18,30.76,31.17,186900,30.44
2012-03-02,31.46,31.46,30.89,30.99,134000,30.27
2012-03-01,31.30,31.45,31.01,31.23,171800,30.50
2012-02-29,31.20,31.30,30.88,31.15,160100,30.42
2012-02-28,31.00,31.10,30.81,30.97,196000,30.25
2012-02-27,30.30,30.94,30.30,30.93,202700,30.21
2012-02-24,30.60,30.69,30.34,30.40,301500,29.69
2012-02-23,30.31,30.61,30.31,30.60,251800,29.88
2012-02-22,30.13,31.10,29.84,30.39,168400,29.68
2012-02-21,30.20,30.50,30.12,30.25,246200,29.54
2012-02-20,30.20,30.25,30.06,30.20,214200,29.49
2012-02-17,30.69,30.73,30.01,30.22,249800,29.51
2012-02-16,31.51,31.55,30.33,30.45,471300,29.74
2012-02-15,31.81,31.99,31.44,31.65,169000,30.91
2012-02-14,31.53,31.86,31.27,31.60,140600,30.86
2012-02-13,31.46,31.70,31.31,31.49,104400,30.75
2012-02-10,31.17,31.55,31.15,31.34,96500,30.61
2012-02-09,31.25,31.50,31.15,31.20,102500,30.47
2012-02-08,30.85,31.52,30.77,31.23,102700,30.50
2012-02-07,30.82,31.13,30.65,30.86,84900,30.14
2012-02-06,30.65,30.89,30.45,30.65,114800,29.93
2012-02-03,30.25,30.75,29.97,30.62,107900,29.90
